source,part,desc,steps_0,idkey_0,idkey_0,steps_1,idkey_1,level
PBOC,pboc_basic_info,基本信息,,,,,,0
PBOC,pboc_mobile,手机号,PIM:PB01:PB01B:PB01BH:[_],PRH:PA01:PA01A:PA01AI01,PRH:PA01:PA01B:PA01BI01,,,1
PBOC,pboc_address,居住地址,PRM:PB03:[_],PRH:PA01:PA01A:PA01AI01,PRH:PA01:PA01B:PA01BI01,,,1
PBOC,pboc_company,工作单位,POM:PB04:[_],PRH:PA01:PA01A:PA01AI01,PRH:PA01:PA01B:PA01BI01,,,1
PBOC,pboc_score,评分,,,,,,0
PBOC,pboc_biz_abst,信贷业务概要,,,,,,0
PBOC,pboc_cacc_abst,C类账户概要,,,,,,0
PBOC,pboc_dum_abst,呆账概要,,,,,,0
PBOC,pboc_dracc_abst,DR类账户概要,,,,,,0
PBOC,pboc_rel_abst,相关还款责任,PCO:PC02:PC02K:PC02KH:[_],PRH:PA01:PA01A:PA01AI01,PRH:PA01:PA01B:PA01BI01,,,1
PBOC,pboc_postfee_abst,后付费业务概要,,,,,,0
PBOC,pboc_public_abst,公共信息概要,,,,,,0
PBOC,pboc_inq_abst,查询记录概要,,,,,,0
PBOC,pboc_acc_info,分帐户明细,PDA:PD01:[_],PRH:PA01:PA01A:PA01AI01,PRH:PA01:PA01B:PA01BI01,,,1
PBOC,pboc_acc_repay_24_monthly,分帐户明细_近24个月还款,PDA:PD01:[_],PRH:PA01:PA01A:PA01AI01,PRH:PA01:PA01B:PA01BI01,PD01D:PD01DH:[_],PD01A:PD01AI01,2
PBOC,pboc_acc_repay_60_monthly,分帐户明细_近60个月还款,PDA:PD01:[_],PRH:PA01:PA01A:PA01AI01,PRH:PA01:PA01B:PA01BI01,PD01E:PD01EH:[_],PD01A:PD01AI01,2
PBOC,pboc_acc_special_trans,分帐户明细_特殊交易,PDA:PD01:[_],PRH:PA01:PA01A:PA01AI01,PRH:PA01:PA01B:PA01BI01,PD01F:PD01FH:[_],PD01A:PD01AI01,2
PBOC,pboc_acc_special_accd,分账户明细_特殊事件,PDA:PD01:[_],PRH:PA01:PA01A:PA01AI01,PRH:PA01:PA01B:PA01BI01,PD01G:PD01GH:[_],PD01A:PD01AI01,2
PBOC,pboc_acc_special_insts,分帐户明细_大额专项分期,PDA:PD01:[_],PRH:PA01:PA01A:PA01AI01,PRH:PA01:PA01B:PA01BI01,PD01H:PD01HH:[_],PD01A:PD01AI01,2
PBOC,pboc_credit_info,授信协议明细,PCA:PD02:[_],PRH:PA01:PA01A:PA01AI01,PRH:PA01:PA01B:PA01BI01,,,1
PBOC,pboc_rel_info,相关还款责任,PCR:PD03:[_],PRH:PA01:PA01A:PA01AI01,PRH:PA01:PA01B:PA01BI01,,,1
PBOC,pboc_postfee_info,非信贷交易明细,PND:PE01:[_],PRH:PA01:PA01A:PA01AI01,PRH:PA01:PA01B:PA01BI01,,,1
PBOC,pboc_taxs,欠税记录,POT:PF01:[_],PRH:PA01:PA01A:PA01AI01,PRH:PA01:PA01B:PA01BI01,,,1
PBOC,pboc_lawsuit,民事判决记录,PCJ:PF02:[_],PRH:PA01:PA01A:PA01AI01,PRH:PA01:PA01B:PA01BI01,,,1
PBOC,pboc_enforcement,强制执行记录,PCE:PF03:[_],PRH:PA01:PA01A:PA01AI01,PRH:PA01:PA01B:PA01BI01,,,1
PBOC,pboc_gov_punishment,行政处罚记录,PAP:PF04:[_],PRH:PA01:PA01A:PA01AI01,PRH:PA01:PA01B:PA01BI01,,,1
PBOC,pboc_housing_fund,住房公积金参缴记录,PHF:PF05:[_],PRH:PA01:PA01A:PA01AI01,PRH:PA01:PA01B:PA01BI01,,,1
PBOC,pboc_sub_allowance,低保救助记录,PBS:PF06:[_],PRH:PA01:PA01A:PA01AI01,PRH:PA01:PA01B:PA01BI01,,,1
PBOC,pboc_pro_cert,执业资格记录,PPQ:PF07:[_],PRH:PA01:PA01A:PA01AI01,PRH:PA01:PA01B:PA01BI01,,,1
PBOC,pboc_gov_award,行政奖励记录,PAH:PF08:[_],PRH:PA01:PA01A:PA01AI01,PRH:PA01:PA01B:PA01BI01,,,1
PBOC,pboc_inq_rec,查询记录,POQ:PH01:[_],PRH:PA01:PA01A:PA01AI01,PRH:PA01:PA01B:PA01BI01,,,1
PBOC,pboc_annotation,标注声明,POS:PG01:[_],PRH:PA01:PA01A:PA01AI01,PRH:PA01:PA01B:PA01BI01,,,1
